event_id,cause,effect,condition,evidence,source_doc_id,source_file,source_type,confidence
Event_878d90bffbba,宫腔粘连,月经量少,女性激素非常好,"是不能除外是40岁之前做人工流产,或者宫腔操作后导致内膜变薄、粘连造成月经量少。此时要到医院检查女性激素,如果女性激素非常好说明还没有到围绝经状态,月经量少有可能是宫腔粘连造成的。这时要做b超检查,必要时需要做手术,也叫宫腔镜检查,将粘连分开",Doc_train_0717_0000,train_0717,gold,1.0
Event_4e36bed44d3e,接触到这类带有病毒的飞沫、空气,感染,儿童免疫系统发育不完全、抵抗力比较差,"感冒为病毒感染引起,又称为急性鼻炎,起病较急,主要表现为鼻部症状,比如打喷嚏、鼻塞。而病毒主要通过患者的喷嚏或者含有病毒的飞沫经过空气传播,或经过污染的手和用具接触传播引起来上呼吸道感染,也就是感冒的病原体,多数存在于自然界中而且是广泛存在的各种类型的病毒都可能引起来感冒,健康人群有时可会携带。儿童免疫系统发育不完全、抵抗力比较差,所以接触到这类带有病毒的飞沫、空气都会出现感染的现象,所以儿童容易反复的出现感冒。",Doc_train_0717_0006,train_0717,gold,1.0
Event_5e86eac9074f,感染真菌,痒,感染头皮,"真菌引起,浅部真菌可以感染很多的部位,足癣、手癣、股癣都是常见部位。当感染头皮时,很多患者可能因为感染真菌,感觉到痒,通过抓挠以后就造成自体的传播。抓到指甲里面,比如指甲盖位置,或者是指",Doc_train_0717_0007,train_0717,gold,1.0
Event_04c96454bf94,"肠道还没有来得及吸收食物残渣里面的水分,就随着大便一块排出",果冻样大便,胃肠道蠕动过快患者食物摄入后,"常吃一些黏性较大的食物,这些黏性物质不容易消化,随着大便一块排出会出现果冻样大便。胃肠道蠕动过快患者食物摄入后,肠道还没有来得及吸收食物残渣里面的水分,就随着大便一块排出,容易出现果冻样大便,尤其在吃生冷、刺激、油炸类的食物后会导致症状加重",Doc_train_0717_0009,train_0717,gold,1.0
Event_0a14a8601192,宫腔粘连,月经量明显减少,人工流产术三个月后,"连,因为经过三个月经周期,子宫内膜功能层已经反复脱落、增生,不会再发生宫腔粘连。除非有宫腔操作病史,导致子宫内膜损伤,引起粘连。如果在人工流产术三个月后发现有宫腔粘连,可能是在人流之后出现了部分粘连情况,导致月经量明显减少,病人本身没有引起足够的重视,所以没有发现宫腔出现粘连。这个时候通过b",Doc_train_0717_0013,train_0717,gold,1.0
Event_a39cdad0830f,食管黏膜糜烂,出血,严重食管炎,"久性的吞咽困难所代替。进食固体食物时,可在剑突下引起堵塞感或疼痛。第四出血及贫血,严重食管炎者可出现食管黏膜糜烂而致出血,多为慢性、少量出血,长期或大量出血可导致缺铁性贫血。",Doc_train_0717_0016,train_0717,gold,1.0
Event_268f7294f8d9,进食固体食物,剑突下引起堵塞感或疼痛,食管瘢痕,"常可因食管炎引发,继发性的食管痉挛而出现间歇性的吞咽困难,后期则可由于食管瘢痕形成狭窄、烧灼感和灼痛感逐渐减轻而为永久性的吞咽困难所代替。进食固体食物时,可在剑突下引起堵塞感或疼痛。第四出血及贫血,严重食管炎者可出现食管黏膜糜烂而致出血,多为慢性、少",Doc_train_0717_0016,train_0717,gold,1.0
Event_8f63a1d31e94,胸壁软组织的损伤,胸部的疼痛,用劲,"组织都会出现牵拉反应,疼痛可能有如下几个原因:第一个,胸部受伤以后出现胸壁软组织的损伤,这时候用劲就可能出现胸部的疼痛。再一个就是胸部损伤以后出现了右胸部肋骨骨折,这时候,牵拉的时候也会出",Doc_train_0717_0018,train_0717,gold,1.0
Event_b6ba9411c1e5,右胸部肋骨骨折,疼痛,牵拉,"右胸使劲就疼,说明出现了右胸部的牵拉性疼痛。当用力的时候,胸部的肌肉及软组织都会出现牵拉反应,疼痛可能有如下几个原因:第一个,胸部受伤以后出现胸壁软组织的损伤,这时候用劲就可能出现胸部的疼痛。再一个就是胸部损伤以后出现了右胸部肋骨骨折,这时候,牵拉的时候也会出现疼痛。还有一个就是当胸部肺内有肿瘤侵犯了右",Doc_train_0717_0018,train_0717,gold,1.0
Event_f0a00dfbfeca,胸部肺内有肿瘤侵犯了右侧胸壁,牵拉疼,用力,"右胸使劲就疼,说明出现了右胸部的牵拉性疼痛。当用力的时候,胸部的肌肉及软组织都会出现牵拉反应,疼痛可能有如下几个原因:第一个,胸部受伤以后出现胸壁软组织的损伤,这时候用劲就可能出现胸部的疼痛。再一个就是胸部损伤以后出现了右胸部肋骨骨折,这时候,牵拉的时候也会出现疼痛。还有一个就是当胸部肺内有肿瘤侵犯了右侧胸壁和右侧胸壁有粘连或者有右侧胸膜炎,当用力的时候就会出现牵拉疼。",Doc_train_0717_0018,train_0717,gold,1.0
Event_d9b01bab0986,右侧胸壁有粘连,牵拉疼,用力,"右胸使劲就疼,说明出现了右胸部的牵拉性疼痛。当用力的时候,胸部的肌肉及软组织都会出现牵拉反应,疼痛可能有如下几个原因:第一个,胸部受伤以后出现胸壁软组织的损伤,这时候用劲就可能出现胸部的疼痛。再一个就是胸部损伤以后出现了右胸部肋骨骨折,这时候,牵拉的时候也会出现疼痛。还有一个就是当胸部肺内有肿瘤侵犯了右侧胸壁和右侧胸壁有粘连或者有右侧胸膜炎,当用力的时候就会出现牵拉疼。",Doc_train_0717_0018,train_0717,gold,1.0
Event_d8cec1d01a52,右侧胸膜炎,牵拉疼,用力,"右胸使劲就疼,说明出现了右胸部的牵拉性疼痛。当用力的时候,胸部的肌肉及软组织都会出现牵拉反应,疼痛可能有如下几个原因:第一个,胸部受伤以后出现胸壁软组织的损伤,这时候用劲就可能出现胸部的疼痛。再一个就是胸部损伤以后出现了右胸部肋骨骨折,这时候,牵拉的时候也会出现疼痛。还有一个就是当胸部肺内有肿瘤侵犯了右侧胸壁和右侧胸壁有粘连或者有右侧胸膜炎,当用力的时候就会出现牵拉疼。",Doc_train_0717_0018,train_0717,gold,1.0
